AB,atom_A,atom_B,structure,volume_per_atom,form_en_per_atom,bandgap
TlTa,Tl,Ta,s2,23.07,1.25,0.00
SbYb,Sb,Yb,s2,32.28,-0.64,0.00
BeMg,Be,Mg,s2,18.14,0.85,0.00
CuTm,Cu,Tm,s2,22.74,0.13,0.00
GaY,Ga,Y,s2,26.00,-0.30,0.00
ScPm,Sc,Pm,s2,31.77,0.75,0.00
BaGd,Ba,Gd,s2,45.21,0.82,0.00
SrTb,Sr,Tb,s2,43.70,0.86,0.00
CBi,C,Bi,s2,16.92,1.69,0.00
CdHo,Cd,Ho,s2,29.44,0.01,0.00
WHg,W,Hg,s2,20.85,1.91,0.00
NEu,N,Eu,s2,15.86,-4.17,0.06
InHf,In,Hf,s2,24.84,0.40,0.00
AlLu,Al,Lu,s2,25.60,0.16,0.00
EuLu,Eu,Lu,s2,33.89,0.76,0.00
NdHo,Nd,Ho,s2,34.30,0.68,0.00
SrNd,Sr,Nd,s2,44.23,0.76,0.00
ClIr,Cl,Ir,s2,16.46,1.37,0.00
AlC,Al,C,s2,9.73,0.49,0.00
RbGa,Rb,Ga,s2,37.62,-1.42,4.83
SnTa,Sn,Ta,s2,22.52,0.72,0.00
CrPm,Cr,Pm,s2,28.15,0.96,0.00
SbHf,Sb,Hf,s2,24.48,-0.31,0.00
BiCd,Bi,Cd,s2,29.82,0.09,0.00
CdEr,Cd,Er,s2,29.07,0.02,0.00
TcCe,Tc,Ce,s2,25.70,1.11,0.00
VY,V,Y,s2,26.15,1.11,0.00
GeCl,Ge,Cl,s2,24.77,0.13,0.00
TaTm,Ta,Tm,s2,25.66,1.50,0.00
CaGd,Ca,Gd,s2,38.56,0.73,0.00
GaCe,Ga,Ce,s2,30.78,-0.25,0.00
BaHg,Ba,Hg,s2,44.95,-0.40,0.00
BiZr,Bi,Zr,s2,27.07,-0.15,0.00
LiRu,Li,Ru,s2,12.51,1.05,0.00
BrPd,Br,Pd,s2,20.78,0.07,0.00
BSm,B,Sm,s2,20.70,0.47,0.00
HfPt,Hf,Pt,s2,20.41,-0.86,0.00
PbF,Pb,F,s2,20.90,-1.38,0.00
